"","mapbiomas.2018.761","n","area_ha"
"1",0,10,0.9
"2",3,2446216,220159.44
"3",4,5,0.45
"4",5,6,0.54
"5",9,317092,28538.28
"6",13,11278,1015.02
"7",15,6465283,581875.47
"8",19,544891,49040.19
"9",20,48,4.32
"10",21,2741336,246720.24
"11",24,79144,7122.96
"12",25,16178,1456.02
"13",29,268875,24198.75
"14",30,583,52.47
"15",33,243581,21922.29
"16",NA,19351732,1741655.88
