"","mapbiomas.2018.762","n","area_ha"
"1",0,2,0.18
"2",3,1857765,167198.85
"3",9,90645,8158.05
"4",13,428,38.52
"5",15,5820455,523840.95
"6",19,12,1.08
"7",21,2694476,242502.84
"8",24,29003,2610.27
"9",25,6993,629.37
"10",29,124516,11206.44
"11",30,5,0.45
"12",33,9390,845.1
"13",NA,9270135,834312.15
