"","mapbiomas.2018.759","n","area_ha"
"1",0,17,1.53
"2",3,143486,12913.74
"3",4,104,9.36
"4",9,45086,4057.74
"5",13,8553,769.77
"6",15,535973,48237.57
"7",19,107189,9647.01
"8",20,1524,137.16
"9",21,93607,8424.63
"10",23,100,9
"11",24,3800,342
"12",25,1147,103.23
"13",29,934,84.06
"14",33,12694,1142.46
"15",NA,54929162,4943624.58
