"","mapbiomas.2018.764","n","area_ha"
"1",0,2327,209.43
"2",3,3211557,289040.13
"3",4,33158,2984.22
"4",9,180832,16274.88
"5",12,36940,3324.6
"6",15,7238149,651433.41
"7",19,25,2.25
"8",21,3954599,355913.91
"9",24,19922,1792.98
"10",25,13724,1235.16
"11",29,9525,857.25
"12",33,13683,1231.47
"13",NA,12361813,1112563.17
