"","mapbiomas.2018.765","n","area_ha"
"1",0,30,2.7
"2",3,1543830,138944.7
"3",4,6099,548.91
"4",9,619974,55797.66
"5",15,3703887,333349.83
"6",21,1125017,101251.53
"7",24,60937,5484.33
"8",25,3431,308.79
"9",29,6167,555.03
"10",30,76,6.84
"11",33,42225,3800.25
"12",NA,11472607,1032534.63
