"","mapbiomas.2018.766","n","area_ha"
"1",0,8476,762.84
"2",3,4301143,387102.87
"3",4,81501,7335.09
"4",9,707427,63668.43
"5",12,268111,24129.99
"6",15,4195089,377558.01
"7",19,1120,100.8
"8",21,1706368,153573.12
"9",24,26165,2354.85
"10",25,25623,2306.07
"11",29,90169,8115.21
"12",30,1202,108.18
"13",33,29386,2644.74
"14",NA,11214859,1009337.31
