"","mapbiomas.2018.767","n","area_ha"
"1",3,214062,19265.58
"2",4,961,86.49
"3",9,322024,28982.16
"4",15,396173,35655.57
"5",19,4689,422.01
"6",21,232087,20887.83
"7",24,53358,4802.22
"8",25,1635,147.15
"9",29,965,86.85
"10",30,7,0.63
"11",33,21680,1951.2
"12",NA,745247,67072.23
