"","mapbiomas.2018.768","n","area_ha"
"1",0,362,32.58
"2",3,2351539,211638.51
"3",4,35156,3164.04
"4",9,1007186,90646.74
"5",12,14683,1321.47
"6",15,1939663,174569.67
"7",19,3639,327.51
"8",21,810165,72914.85
"9",24,148232,13340.88
"10",25,50811,4572.99
"11",29,146445,13180.05
"12",30,1619,145.71
"13",33,25711,2313.99
"14",NA,8029819,722683.71
