"","mapbiomas_col5_2019_bhrd","n","area_ha"
"1",0,1776838,159915.42
"2",3,26832708,2414943.72
"3",4,5942578,534832.02
"4",9,3220697,289862.73
"5",12,3,0.27
"6",13,5883,529.47
"7",15,40012273,3601104.57
"8",20,2510,225.9
"9",21,17159514,1544356.26
"10",23,98,8.82
"11",24,552588,49732.92
"12",25,126145,11353.05
"13",29,559291,50336.19
"14",30,116218,10459.62
"15",33,710484,63943.56
"16",36,742852,66856.68
"17",39,8,0.72
"18",41,108275,9744.75
"19",NA,94292077,8486286.93
