"","mapbiomas_col5_2019_Manhuacu","n","area_ha"
"1",3,2329965,209696.85
"2",4,5186,466.74
"3",9,109394,9845.46
"4",13,483,43.47
"5",15,4932858,443957.22
"6",21,3325475,299292.75
"7",24,36232,3260.88
"8",25,14533,1307.97
"9",29,101037,9093.33
"10",33,35974,3237.66
"11",41,33,2.97
"12",NA,9550518,859546.62
