"","mapbiomas_col5_2019_SantaMariaDoDoce","n","area_ha"
"1",3,773984,69658.56
"2",4,10,0.9
"3",9,69167,6225.03
"4",13,1816,163.44
"5",15,1492482,134323.38
"6",21,781657,70349.13
"7",24,11377,1023.93
"8",25,6973,627.57
"9",29,20657,1859.13
"10",33,64217,5779.53
"11",36,37417,3367.53
"12",41,396,35.64
"13",NA,8655283,778975.47
