"","mapbiomas_col5_2019_BaixoDoce","n","area_ha"
"1",3,3073458,276611.22
"2",4,1380,124.2
"3",9,389237,35031.33
"4",13,3967,357.03
"5",15,5523924,497153.16
"6",20,2492,224.28
"7",21,3360322,302428.98
"8",23,98,8.82
"9",24,79137,7122.33
"10",25,21873,1968.57
"11",29,173760,15638.4
"12",33,314660,28319.4
"13",36,626916,56422.44
"14",41,13360,1202.4
"15",NA,19185611,1726704.99
