"","mapbiomas_col5_2019_SantoAntonio","n","area_ha"
"1",0,1199865,107987.85
"2",3,4668669,420180.21
"3",4,1166124,104951.16
"4",9,547216,49249.44
"5",12,1,0.09
"6",15,3032698,272942.82
"7",20,12,1.08
"8",21,1019991,91799.19
"9",24,25201,2268.09
"10",25,9898,890.82
"11",29,36504,3285.36
"12",30,16026,1442.34
"13",33,39970,3597.3
"14",39,2,0.18
"15",41,3444,309.96
"16",NA,11081879,997369.11
