"","mapbiomas_col5_1985_Caratinga","n","area_ha"
"1",3,1042806,93852.54
"2",4,451812,40663.08
"3",9,35248,3172.32
"4",15,5396587,485692.83
"5",21,890580,80152.2
"6",24,15595,1403.55
"7",25,18664,1679.76
"8",29,9871,888.39
"9",33,71172,6405.48
"10",41,1200,108
"11",NA,11891197,1070207.73
