"","mapbiomas_col5_2019_Piranga","n","area_ha"
"1",3,6221754,559957.86
"2",4,229251,20632.59
"3",9,528245,47542.05
"4",15,9560943,860484.87
"5",21,3912618,352135.62
"6",24,100939,9084.51
"7",25,23591,2123.19
"8",29,61335,5520.15
"9",30,17234,1551.06
"10",33,110070,9906.3
"11",36,9,0.81
"12",41,77942,7014.78
"13",NA,18602269,1674204.21
