"","mapbiomas_col5_2019_SaoJose","n","area_ha"
"1",3,1665467,149892.03
"2",4,417,37.53
"3",9,291798,26261.82
"4",13,1725,155.25
"5",15,2690397,242135.73
"6",20,2492,224.28
"7",21,1719621,154765.89
"8",23,98,8.82
"9",24,53759,4838.31
"10",25,11679,1051.11
"11",29,121840,10965.6
"12",33,242997,21869.73
"13",36,589499,53054.91
"14",41,12964,1166.76
"15",NA,6318047,568624.23
