"","mapbiomas_col5_2019_Guandu","n","area_ha"
"1",3,634013,57061.17
"2",4,953,85.77
"3",9,28275,2544.75
"4",13,426,38.34
"5",15,1341048,120694.32
"6",21,859051,77314.59
"7",24,14001,1260.09
"8",25,3227,290.43
"9",29,31263,2813.67
"10",33,7722,694.98
"11",NA,4360649,392458.41
