"","mapbiomas_col5_1985_Piracicaba","n","area_ha"
"1",0,427396,38465.64
"2",3,2955765,266018.85
"3",4,617746,55597.14
"4",9,225286,20275.74
"5",15,1702043,153183.87
"6",21,494872,44538.48
"7",24,83492,7514.28
"8",25,41419,3727.71
"9",29,84799,7631.91
"10",30,64816,5833.44
"11",33,29033,2612.97
"12",41,4719,424.71
"13",NA,8794054,791464.86
