"","mapbiomas_col5_1985_SuacuiGrande","n","area_ha"
"1",0,110827,9974.43
"2",3,6950039,625503.51
"3",4,1797048,161734.32
"4",9,276482,24883.38
"5",15,13157319,1184158.71
"6",21,2891845,260266.05
"7",24,25050,2254.5
"8",25,19397,1745.73
"9",29,29202,2628.18
"10",33,77770,6999.3
"11",NA,33133431,2982008.79
