"","coverage.1985_Guandu","n","area_ha"
"1",3,646712,58204.08
"2",4,233,20.97
"3",9,57,5.13
"4",15,1714790,154331.1
"5",21,456671,41100.39
"6",24,9976,897.84
"7",25,1170,105.3
"8",29,61538,5538.42
"9",33,10702,963.18
"10",41,18130,1631.7
"11",NA,4360649,392458.41
