"","coverage.2020_SJose","n","area_ha"
"1",3,1630334,146730.06
"2",4,828,74.52
"3",9,138873,12498.57
"4",11,16738,1506.42
"5",13,4906,441.54
"6",15,2882333,259409.97
"7",20,495,44.55
"8",21,1778398,160055.82
"9",23,91,8.19
"10",24,65931,5933.79
"11",25,7547,679.23
"12",29,245149,22063.41
"13",33,235348,21181.32
"14",41,286694,25802.46
"15",46,100310,9027.9
"16",49,10778,970.02
"17",NA,6318047,568624.23
