"","coverage.1985_Piranga","n","area_ha"
"1",3,5843883,525949.47
"2",4,7,0.63
"3",9,39086,3517.74
"4",12,114760,10328.4
"5",15,11460793,1031471.37
"6",21,2998615,269875.35
"7",24,58376,5253.84
"8",25,19298,1736.82
"9",29,65820,5923.8
"10",30,6708,603.72
"11",33,150029,13502.61
"12",41,15405,1386.45
"13",46,71151,6403.59
"14",NA,18602269,1674204.21
