"","coverage.2020_Piracicaba","n","area_ha"
"1",3,3238129,291431.61
"2",4,60218,5419.62
"3",9,609318,54838.62
"4",11,1498,134.82
"5",12,108814,9793.26
"6",15,1484976,133647.84
"7",21,737021,66331.89
"8",24,211742,19056.78
"9",25,15564,1400.76
"10",29,149771,13479.39
"11",30,82395,7415.55
"12",33,26710,2403.9
"13",41,54,4.86
"14",46,5176,465.84
"15",NA,8794054,791464.86
