"","coverage.1985_SMariaDoDoce","n","area_ha"
"1",3,781519,70336.71
"2",9,539,48.51
"3",11,910,81.9
"4",13,857,77.13
"5",15,1912505,172125.45
"6",21,409840,36885.6
"7",24,8785,790.65
"8",25,1367,123.03
"9",29,57926,5213.34
"10",33,66707,6003.63
"11",41,14278,1285.02
"12",46,4463,401.67
"13",49,458,41.22
"14",NA,8655282,778975.38
