"","coverage.1985","n","area_ha"
"1",0,94282714,8485444.26
"2",3,30372242,2733501.78
"3",4,1138456,102461.04
"4",5,7,0.63
"5",9,472482,42523.38
"6",11,70977,6387.93
"7",12,431004,38790.36
"8",13,8807,792.63
"9",15,49644937,4468044.33
"10",20,7,0.63
"11",21,12883717,1159534.53
"12",23,226,20.34
"13",24,358255,32242.95
"14",25,114093,10268.37
"15",29,1144458,103001.22
"16",30,35569,3201.21
"17",33,828402,74556.18
"18",41,166213,14959.17
"19",46,202485,18223.65
"20",49,31429,2828.61
