"","coverage.1985_Caratinga","n","area_ha"
"1",3,1083705,97533.45
"2",4,256310,23067.9
"3",9,18370,1653.3
"4",11,17,1.53
"5",12,585,52.65
"6",15,5381480,484333.2
"7",21,990195,89117.55
"8",24,34603,3114.27
"9",25,11212,1009.08
"10",29,34199,3077.91
"11",33,89447,8050.23
"12",41,29921,2692.89
"13",46,3491,314.19
"14",NA,11891197,1070207.73
