"","coverage.1985_Manhuacu","n","area_ha"
"1",3,2552180,229696.2
"2",4,839,75.51
"3",9,24471,2202.39
"4",15,6470380,582334.2
"5",21,1429917,128692.53
"6",24,21698,1952.82
"7",25,3298,296.82
"8",29,243985,21958.65
"9",33,51128,4601.52
"10",41,64507,5805.63
"11",46,28767,2589.03
"12",NA,9550518,859546.62
