"","coverage.2020_SuacuiGrande","n","area_ha"
"1",3,8033594,723023.46
"2",4,333593,30023.37
"3",9,694962,62546.58
"4",11,64887,5839.83
"5",12,23406,2106.54
"6",15,11401930,1026173.7
"7",21,4420316,397828.44
"8",24,101796,9161.64
"9",25,11366,1022.94
"10",29,131002,11790.18
"11",30,105,9.45
"12",33,111006,9990.54
"13",39,29,2.61
"14",46,6988,628.92
"15",NA,33133430,2982008.7
