"","coverage.1985_SAntonio","n","area_ha"
"1",3,6231808,560862.72
"2",4,393229,35390.61
"3",9,96661,8699.49
"4",11,795,71.55
"5",12,153435,13809.15
"6",15,3457427,311168.43
"7",21,1195436,107589.24
"8",24,16237,1461.33
"9",25,28263,2543.67
"10",29,134000,12060
"11",30,3883,349.47
"12",33,49512,4456.08
"13",46,4935,444.15
"14",NA,11081879,997369.11
