"","my_class2","area_ha","Percentage"
"1","Agricultura",150114.06,"21.02"
"2","Água",7252.29,"1.02"
"3","Área nativa",143644.05,"20.12"
"4","Área urbana",6273.27,"0.88"
"5","Pastagem ",393687.27,"55.14"
"6","Silvicultura",13047.21,"1.83"
