"","my_class2","area_ha","Percentage"
"1","Agricultura",102445.74,"15.37"
"2","Água",22121.37,"3.32"
"3","Área nativa",170775.9,"25.63"
"4","Área urbana",2738.07,"0.41"
"5","Pastagem ",366522.21,"55"
"6","Silvicultura",1824.48,"0.27"
