"","my_class2","area_ha","Percentage"
"1","Agricultura",92124.63,"12.9"
"2","Água",8050.23,"1.13"
"3","Área nativa",124742.52,"17.47"
"4","Área urbana",3114.27,"0.44"
"5","Pastagem ",484333.2,"67.83"
"6","Silvicultura",1653.3,"0.23"
