"","my_class2","area_ha","Percentage"
"1","Agricultura",137087.19,"13.99"
"2","Água",4601.52,"0.47"
"3","Área nativa",252027.18,"25.71"
"4","Área urbana",1952.82,"0.2"
"5","Pastagem ",582334.2,"59.41"
"6","Silvicultura",2202.39,"0.22"
