"","my_class2","area_ha","Percentage"
"1","Agricultura",160231.41,"15.13"
"2","Água",4243.41,"0.4"
"3","Área nativa",561811.77,"53.06"
"4","Área urbana",3397.95,"0.32"
"5","Mineração",1500.48,"0.14"
"6","Pastagem ",285243.66,"26.94"
"7","Silvicultura",42477.21,"4.01"
