"","my_class2","area_ha","Percentage"
"1","Agricultura",398459.97,"17.48"
"2","Água",9990.54,"0.44"
"3","Área nativa",773806.32,"33.94"
"4","Área urbana",9161.64,"0.4"
"5","Mineração",9.45,"0"
"6","Pastagem ",1026173.7,"45"
"7","Silvicultura",62546.58,"2.74"
