"","my_class2","area_ha","Percentage"
"1","Agricultura",108033.39,"10.2"
"2","Água",4456.08,"0.42"
"3","Área nativa",624737.7,"59"
"4","Área urbana",1461.33,"0.14"
"5","Mineração",349.47,"0.03"
"6","Pastagem ",311168.43,"29.39"
"7","Silvicultura",8699.49,"0.82"
