"","my_class2","area_ha","Percentage"
"1","Agricultura",1787775.48,"20.29"
"2","Água",65827.98,"0.75"
"3","Área nativa",3042328.77,"34.53"
"4","Área urbana",63274.32,"0.72"
"5","Mineração",10754.73,"0.12"
"6","Pastagem ",3599161.83,"40.85"
"7","Silvicultura",242215.83,"2.75"
