"","my_class2","area_ha","Percentage"
"1","Agricultura",42732.09,"16.26"
"2","Água",963.18,"0.37"
"3","Área nativa",63868.77,"24.3"
"4","Área urbana",897.84,"0.34"
"5","Pastagem ",154331.1,"58.73"
"6","Silvicultura",5.13,"0"
