"","my_class2","area_ha","Percentage"
"1","Agricultura",306336.15,"13.43"
"2","Água",9612.36,"0.42"
"3","Área nativa",770193.27,"33.78"
"4","Área urbana",4405.5,"0.19"
"5","Mineração",0.45,"0"
"6","Pastagem ",1178432.73,"51.68"
"7","Silvicultura",11167.74,"0.49"
