"","my_class2","area_ha","Percentage"
"1","Agricultura",66802.59,"11.03"
"2","Água",2403.9,"0.4"
"3","Área nativa",321659.46,"53.09"
"4","Área urbana",19056.78,"3.15"
"5","Mineração",7415.55,"1.22"
"6","Pastagem ",133647.84,"22.06"
"7","Silvicultura",54838.62,"9.05"
