"","my_class2","area_ha","Percentage"
"1","Agricultura",194930.73,"29.25"
"2","Água",21181.32,"3.18"
"3","Área nativa",172473.39,"25.88"
"4","Área urbana",5933.79,"0.89"
"5","Pastagem ",259409.97,"38.93"
"6","Silvicultura",12498.57,"1.88"
