"","my_class2","area_ha","Percentage"
"1","Agricultura",71299.44,"11.77"
"2","Água",5136.66,"0.85"
"3","Área nativa",337483.62,"55.71"
"4","Área urbana",11491.65,"1.9"
"5","Mineração",2239.47,"0.37"
"6","Pastagem ",164840.04,"27.21"
"7","Silvicultura",13333.86,"2.2"
