"","my_class2","area_ha","Percentage"
"1","Agricultura",38572.29,"13.15"
"2","Água",6003.63,"2.05"
"3","Área nativa",75873.33,"25.86"
"4","Área urbana",790.65,"0.27"
"5","Pastagem ",172125.45,"58.66"
"6","Silvicultura",48.51,"0.02"
