"","my_class2","area_ha","Percentage"
"1","Agricultura",277665.39,"14.8"
"2","Água",13502.61,"0.72"
"3","Área nativa",543939.12,"29"
"4","Área urbana",5253.84,"0.28"
"5","Mineração",603.72,"0.03"
"6","Pastagem ",1031471.37,"54.98"
"7","Silvicultura",3517.74,"0.19"
