"","my_class2","area_ha","Percentage"
"1","Agricultura",73610.28,"25.09"
"2","Água",5162.58,"1.76"
"3","Área nativa",78709.41,"26.83"
"4","Área urbana",1477.62,"0.5"
"5","Pastagem ",129769.74,"44.23"
"6","Silvicultura",4684.23,"1.6"
