"","my_class2","area_ha","Percentage"
"1","Agricultura",367968.06,"19.61"
"2","Água",10284.03,"0.55"
"3","Área nativa",620265.42,"33.06"
"4","Área urbana",11783.79,"0.63"
"5","Mineração",1809.81,"0.1"
"6","Pastagem ",824941.26,"43.97"
"7","Silvicultura",38901.42,"2.07"
