"","my_class2","area_ha","Percentage"
"1","Agricultura",76461.21,"29.1"
"2","Água",821.88,"0.31"
"3","Área nativa",69280.11,"26.36"
"4","Área urbana",1630.71,"0.62"
"5","Pastagem ",112746.15,"42.9"
"6","Silvicultura",1858.05,"0.71"
