"","my_class2","area_ha","Percentage"
"1","Agricultura",284828.49,"29.06"
"2","Água",4414.59,"0.45"
"3","Área nativa",268313.13,"27.37"
"4","Área urbana",4258.71,"0.43"
"5","Pastagem ",408691.17,"41.69"
"6","Silvicultura",9699.21,"0.99"
