"","my_class2","area_ha","Percentage"
"1","Agricultura",1192717.98,"13.54"
"2","Água",74556.18,"0.85"
"3","Área nativa",2998052.91,"34.02"
"4","Área urbana",32242.95,"0.37"
"5","Mineração",3201.21,"0.04"
"6","Pastagem ",4468044.33,"50.71"
"7","Silvicultura",42523.38,"0.48"
